Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193106,70.70,2.21
193107,75.81,2.20
193108,71.96,-0.14
193109,68.13,3.27
193110,56.57,2.46
193111,43.38,1.69
193112,35.06,2.38
193201,31.55,1.43
193202,36.70,2.88
193203,37.36,-4.14
193204,51.60,0.55
193205,60.51,0.31
193206,69.24,0.75
193207,74.10,0.49
193208,72.57,0.47
193209,64.69,-0.17
193210,52.32,-1.79
193211,40.75,-0.94
193212,29.41,-3.27
193301,34.30,4.18
193302,29.59,-4.23
193303,41.83,0.33
193304,49.84,-1.21
193305,59.83,-0.37
193306,71.56,3.07
193307,75.13,1.52
193308,71.92,-0.18
193309,67.73,2.87
193310,55.20,1.09
193311,42.53,0.84
193312,36.43,3.75
193401,35.08,4.96
193402,34.32,0.50
193403,42.78,1.28
193404,53.74,2.69
193405,64.71,4.51
193406,70.68,2.19
193407,76.37,2.76
193408,73.53,1.43
193409,63.84,-1.02
193410,56.52,2.41
193411,45.01,3.32
193412,32.67,-0.01
193501,31.51,1.39
193502,36.01,2.19
193503,43.61,2.11
193504,49.71,-1.34
193505,57.33,-2.87
193506,67.64,-0.85
193507,75.13,1.52
193508,72.99,0.89
193509,64.80,-0.06
193510,53.80,-0.31
193511,39.49,-2.20
193512,30.74,-1.94
193601,27.36,-2.76
193602,25.23,-8.59
193603,43.43,1.93
193604,50.22,-0.83
193605,63.46,3.26
193606,70.61,2.12
193607,76.80,3.19
193608,74.59,2.49
193609,66.36,1.50
193610,53.49,-0.62
193611,39.81,-1.88
193612,34.47,1.79
193701,24.84,-5.28
193702,31.73,-2.09
193703,38.84,-2.66
193704,50.11,-0.94
193705,61.93,1.73
193706,68.79,0.30
193707,74.59,0.98
193708,74.66,2.56
193709,65.70,0.84
193710,53.89,-0.22
193711,40.82,-0.87
193712,32.70,0.02
193801,32.14,2.02
193802,36.00,2.18
193803,45.01,3.51
193804,51.73,0.68
193805,59.85,-0.35
193806,68.77,0.28
193807,73.78,0.17
193808,73.72,1.62
193809,66.63,1.77
193810,56.41,2.30
193811,39.94,-1.75
193812,34.21,1.53
193901,33.91,3.79
193902,29.98,-3.84
193903,42.51,1.01
193904,51.53,0.48
193905,62.71,2.51
193906,68.86,0.37
193907,74.88,1.27
193908,72.64,0.54
193909,67.37,2.51
193910,54.72,0.61
193911,42.30,0.61
193912,37.72,5.04
194001,23.83,-6.29
194002,33.85,0.03
194003,41.52,0.02
194004,50.23,-0.82
194005,60.85,0.65
194006,69.60,1.11
194007,74.14,0.53
194008,72.14,0.04
194009,65.35,0.49
194010,56.08,1.97
194011,39.00,-2.69
194012,36.05,3.37
194101,32.20,2.08
194102,33.53,-0.29
194103,39.20,-2.30
194104,52.02,0.97
194105,62.33,2.13
194106,67.80,-0.69
194107,73.98,0.37
194108,72.07,-0.03
194109,64.53,-0.33
194110,55.20,1.09
194111,42.91,1.22
194112,36.12,3.44
194201,29.84,-0.28
194202,30.74,-3.08
194203,41.31,-0.19
194204,53.06,2.01
194205,59.09,-1.11
194206,67.91,-0.58
194207,73.96,0.35
194208,71.78,-0.32
194209,63.66,-1.20
194210,54.57,0.46
194211,43.16,1.47
194212,32.97,0.29
